match_id,team1,team2,venue,t1_batting_strength,t1_bowling_strength,t1_overall_strength,t1_recent_runs,t1_recent_wickets,t1_recent_economy,t2_batting_strength,t2_bowling_strength,t2_overall_strength,t2_recent_runs,t2_recent_wickets,t2_recent_economy
1082591,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",54.76157104559659,26.476364736433847,81.23793578203043,14.854545454545455,0.8727272727272727,5.2113495733018045,49.46990885297789,18.216197251769756,67.68610610474765,12.0,0.7090909090909091,7.1449127497889116
1082592,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,48.6973808269167,16.300614351938748,64.99799517885543,12.872727272727275,0.6,4.474398395721925,55.56348223432075,26.550081346235935,82.11356358055667,13.872727272727273,0.34545454545454546,5.6057009448992785
1082593,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,48.69686747633852,13.927022374999108,62.623889851337616,12.927272727272724,0.4181818181818182,5.912815372960453,55.333628895902166,32.49940295595511,87.83303185185729,8.454545454545455,0.5136363636363637,4.730531968031968
1082594,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,51.82211332762367,26.790006574079793,78.61211990170347,12.21818181818182,0.5545454545454546,5.72858181550132,49.28447364332383,15.997136061728197,65.28160970505202,18.318181818181817,0.5545454545454546,4.681617192331479
1082595,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,50.90936680621558,19.900392622324535,70.80975942854012,11.98181818181818,0.7454545454545454,5.823667122351333,51.45697946578889,24.25893986504675,75.71591933083565,11.236363636363636,0.5090909090909091,4.367940408071582
1082596,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",54.76157104559659,26.476364736433847,81.23793578203043,11.436363636363637,0.8454545454545456,4.231180444827225,43.45707637865523,10.999391435160804,54.45646781381604,14.645454545454545,0.2727272727272727,6.285709797788684
1082597,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,56.020054143347075,39.64901257303697,95.66906671638404,13.909090909090912,0.5272727272727272,6.19971953627827,52.66047582553729,24.417585667365156,77.07806149290246,14.245454545454544,0.5,4.816095669036846
1082598,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,50.80372948923982,28.555354628667775,79.3590841179076,9.163636363636364,0.4272727272727273,5.900272999036474,51.15199200100756,19.276122996080044,70.4281149970876,12.781818181818181,0.5272727272727272,5.3958864664747015
1082599,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,49.300962689829085,16.220527771852172,65.52149046168125,11.566666666666666,0.48333333333333334,4.927992105933282,50.78625093606616,24.122999158607286,74.90925009467345,11.727272727272725,0.5272727272727273,4.30177267801182
1082600,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,56.020054143347075,39.64901257303697,95.66906671638404,14.509090909090908,0.6181818181818183,6.246407490833161,51.5764985828581,27.286058867447437,78.86255745030553,14.160606060606058,0.6727272727272727,6.087815991922176
1082601,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,55.32571436661604,35.13453696119589,90.46025132781195,10.181818181818183,0.5636363636363636,4.890892720724653,52.251160319279364,29.61493491983614,81.86609523911548,11.181818181818182,0.43636363636363634,6.27040359690536
1082602,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,47.048145621376754,15.556688409521495,62.604834030898246,17.227272727272723,0.41363636363636364,4.981772709182348,56.15432537574915,33.65471717824018,89.80904255398933,14.218181818181817,0.45454545454545453,5.985887319120079
1082603,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,53.727689665021494,18.583877718514103,72.3115673835356,13.136363636363637,0.6000000000000001,5.781816668180304,54.25543507098859,14.967378309649519,69.22281338063812,17.09090909090909,0.3727272727272727,5.019264069264069
1082604,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,54.19590460559112,30.814286342479395,85.01019094807053,14.281818181818181,0.5772727272727273,5.2610953472298005,54.76157104559659,26.476364736433847,81.23793578203045,16.22727272727273,0.6681818181818182,5.340921458676049
1082605,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,51.88592171982786,23.916938552546675,75.80286027237453,15.327272727272726,0.5818181818181819,3.9702783788629463,51.074387748302726,23.60115365182185,74.67554140012457,12.872727272727275,0.38181818181818183,5.189409664865159
1082606,Mumbai Indians,Gujarat Lions,Wankhede Stadium,56.020054143347075,39.64901257303697,95.66906671638404,14.2,0.5818181818181819,5.82961430676141,53.542469001354675,20.28024597612241,73.82271497747708,14.054545454545455,0.5363636363636363,5.8877073870257135
1082607,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,47.07437869614464,19.474569066647664,66.54894776279231,14.654545454545456,0.6,5.19110651103061,52.866383149236796,18.85564010180185,71.72202325103865,15.363636363636367,0.5151515151515151,3.892774143150083
